src_ip;oct1;oct2;oct3;oct4;pca1;pca2
192.168.128.15;192;168;128;15;-83.80792548436325;-3.5141048276089295
192.168.128.16;192;168;128;16;-82.80795128335467;-3.506921700349961
192.168.128.19;192;168;128;19;-79.80802868032889;-3.485372318573055
192.168.128.21;192;168;128;21;-77.80808027831166;-3.4710060640551172
192.168.128.22;192;168;128;22;-76.80810607730308;-3.463822936796149
192.168.128.23;192;168;128;23;-75.80813187629448;-3.4566398095371804
192.168.128.25;192;168;128;25;-73.8081834742773;-3.442273555019243
192.168.128.26;192;168;128;26;-72.8082092732687;-3.4350904277602745
192.168.128.28;192;168;128;28;-70.80826087125148;-3.420724173242337
192.168.128.30;192;168;128;30;-68.8083124692343;-3.4063579187243995
192.168.128.31;192;168;128;31;-67.8083382682257;-3.3991747914654313
192.168.128.32;192;168;128;32;-66.80836406721711;-3.3919916642064623
192.168.128.33;192;168;128;33;-65.80838986620851;-3.3848085369474936
192.168.128.34;192;168;128;34;-64.80841566519992;-3.377625409688526
192.168.128.35;192;168;128;35;-63.80844146419131;-3.3704422824295563
192.168.128.36;192;168;128;36;-62.808467263182706;-3.3632591551705877
192.168.128.37;192;168;128;37;-61.80849306217411;-3.3560760279116195
192.168.128.38;192;168;128;38;-60.80851886116553;-3.34889290065265
192.168.128.40;192;168;128;40;-58.808570459148314;-3.3345266461347136
192.168.128.41;192;168;128;41;-57.80859625813972;-3.3273435188757445
192.168.128.42;192;168;128;42;-56.808622057131124;-3.320160391616776
192.168.128.43;192;168;128;43;-55.808647856122526;-3.3129772643578073
192.168.128.44;192;168;128;44;-54.80867365511392;-3.3057941370988386
192.168.128.46;192;168;128;46;-52.80872525309673;-3.2914278825809022
192.168.128.48;192;168;128;48;-50.80877685107954;-3.277061628062965
192.168.128.49;192;168;128;49;-49.80880265007094;-3.2698785008039963
192.168.128.51;192;168;128;51;-47.80885424805375;-3.2555122462860586
192.168.128.52;192;168;128;52;-46.80888004704515;-3.2483291190270904
192.168.128.53;192;168;128;53;-45.80890584603655;-3.2411459917681213
192.168.128.54;192;168;128;54;-44.808931645027954;-3.2339628645091527
192.168.128.55;192;168;128;55;-43.80895744401936;-3.226779737250184
192.168.128.56;192;168;128;56;-42.808983243010765;-3.219596609991215
192.168.128.58;192;168;128;58;-40.80903484099357;-3.2052303554732786
192.168.128.59;192;168;128;59;-39.80906063998497;-3.1980472282143095
192.168.128.60;192;168;128;60;-38.80908643897637;-3.190864100955341
192.168.128.61;192;168;128;61;-37.809112237967774;-3.1836809736963727
192.168.128.63;192;168;128;63;-35.80916383595058;-3.1693147191784354
192.168.128.64;192;168;128;64;-34.809189634941994;-3.1621315919194664
192.168.128.65;192;168;128;65;-33.80921543393338;-3.1549484646604973
192.168.128.66;192;168;128;66;-32.80924123292479;-3.1477653374015295
192.168.128.67;192;168;128;67;-31.80926703191619;-3.1405822101425604
192.168.128.68;192;168;128;68;-30.809292830907598;-3.133399082883592
192.168.128.69;192;168;128;69;-29.809318629898996;-3.1262159556246227
192.168.128.70;192;168;128;70;-28.809344428890395;-3.1190328283656537
192.168.128.71;192;168;128;71;-27.809370227881807;-3.111849701106686
192.168.128.72;192;168;128;72;-26.809396026873205;-3.1046665738477173
192.168.128.73;192;168;128;73;-25.809421825864607;-3.097483446588749
192.168.128.74;192;168;128;74;-24.80944762485601;-3.09030031932978
192.168.128.75;192;168;128;75;-23.809473423847415;-3.083117192070811
192.168.128.76;192;168;128;76;-22.809499222838813;-3.075934064811843
192.168.128.77;192;168;128;77;-21.80952502183022;-3.0687509375528736
192.168.128.78;192;168;128;78;-20.809550820821617;-3.0615678102939055
192.168.128.79;192;168;128;79;-19.809576619813026;-3.054384683034937
192.168.128.80;192;168;128;80;-18.809602418804428;-3.0472015557759677
192.168.128.81;192;168;128;81;-17.80962821779583;-3.0400184285169995
192.168.128.82;192;168;128;82;-16.809654016787235;-3.032835301258031
192.168.128.83;192;168;128;83;-15.809679815778635;-3.025652173999062
192.168.128.84;192;168;128;84;-14.809705614770037;-3.018469046740093
192.168.128.85;192;168;128;85;-13.809731413761439;-3.0112859194811246
192.168.128.86;192;168;128;86;-12.809757212752842;-3.0041027922221564
192.168.128.87;192;168;128;87;-11.809783011744246;-2.9969196649631877
192.168.128.88;192;168;128;88;-10.809808810735648;-2.9897365377042187
192.168.128.89;192;168;128;89;-9.809834609727053;-2.98255341044525
192.168.128.90;192;168;128;90;-8.809860408718455;-2.975370283186282
192.168.128.91;192;168;128;91;-7.809886207709858;-2.9681871559273127
192.168.128.92;192;168;128;92;-6.809912006701261;-2.961004028668344
192.168.128.93;192;168;128;93;-5.8099378056926625;-2.9538209014093755
192.168.128.94;192;168;128;94;-4.809963604684065;-2.946637774150407
192.168.128.95;192;168;128;95;-3.809989403675468;-2.9394546468914386
192.168.128.96;192;168;128;96;-2.810015202666871;-2.9322715196324696
192.168.128.97;192;168;128;97;-1.8100410016582733;-2.9250883923735005
192.168.128.98;192;168;128;98;-0.8100668006496761;-2.9179052651145323
192.168.128.99;192;168;128;99;0.18990740035892129;-2.910722137855564
192.168.128.100;192;168;128;100;1.1898816013675186;-2.9035390105965955
192.168.128.101;192;168;128;101;2.1898558023761154;-2.8963558833376264
192.168.128.102;192;168;128;102;3.1898300033847127;-2.8891727560786578
